sample_id	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	sacrifice_batch	RNA_extraction_batch	filename	instrument	run	flow_cell	lane
53	sal.24h.M.53	sal.24h	saline	0.9%	24 hour	M	53	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	4	Psi1_A53_NS_Male	A00938	580	HTWCMDSX7	4
54	sal.24h.M.54	sal.24h	saline	0.9%	24 hour	M	54	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	4	Psi1_A54_NS_Male	A00938	580	HTWCMDSX7	4
55	sal.24h.M.55	sal.24h	saline	0.9%	24 hour	M	55	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	2	4	Psi1_A55_NS_Male	A00938	580	HTWCMDSX7	4
56	sal.24h.F.56	sal.24h	saline	0.9%	24 hour	F	56	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	2	4	Psi1_A56_NS_Female	A00938	580	HTWCMDSX7	4
57	sal.24h.F.57	sal.24h	saline	0.9%	24 hour	F	57	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	2	4	Psi1_A57_NS_Female	A00938	580	HTWCMDSX7	4
58	sal.24h.F.58	sal.24h	saline	0.9%	24 hour	F	58	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	2	4	Psi1_A58_NS_Female	A00938	580	HTWCMDSX7	4
59	sal.24h.F.59	sal.24h	saline	0.9%	24 hour	F	59	8 weeks	18 grams	9.5	C57BL/6	NA	Psil1	2	4	Psi1_A59_NS_Female	A00938	580	HTWCMDSX7	4
60	sal.24h.F.60	sal.24h	saline	0.9%	24 hour	F	60	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	2	4	Psi1_A60_NS_Female	A00938	580	HTWCMDSX7	4
61	psilo.high.7d.M.61	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	61	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	3	4	Psi1_A61_High_Male	A00938	580	HTWCMDSX7	4
62	psilo.high.7d.M.62	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	62	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	3	4	Psi1_A62_High_Male	A00938	580	HTWCMDSX7	4
